Trading Name	Trading Code	RIC	Mkt Cap ($M)	Tot. Rev ($M)	P/E	Yield (%)	Sector	GTI Score
KOP	5I1	KOPL.SI	70.91	8.315			Cyclical Consumer Services	86
Kori	5VC	KORI.SI	14.186	15.995	11.33		Industrial & Commercial Services	74
Koufu	VL6	KOUF.SI	363.632	209.089	21.03	2.6	Cyclical Consumer Services	74
Koyo Intl	5OC	KOYO.SI	14.513	25.192	19.37	0.68	Industrial & Commercial Services	55
KrisEnergy	SK3	KRIS.SI	45.699	61.194			Energy - Fossil Fuels	78
KS Energy	578	KSTL.SI	17.148	39.982			Energy - Fossil Fuels	49
KSH	ER0	KSHH.SI	205.105	153.094		2.78	Industrial & Commercial Services	74
KTL Global	EB7	KTLG.SI	43.84	-0.556			Cyclical Consumer Services	57
KTMG	XCF	KTMG.SI	32.579	70.995	10.51		Cyclical Consumer Products	55
Lasseters Intl	5EL	LASS.SI	31.15	0.075			Cyclical Consumer Services	54
Leader Env	LS9	LETL.SI	112.046	6.955			Industrial & Commercial Services	52
Lendlease Reit	JYEU	LEND.SI	1027.467	78.651		4.82	Real Estate	
Ley Choon	Q0X	LEYC.SI	18.957	89.311	2.63		Industrial & Commercial Services	84
LHN	41O	LHNL.SI	139.041	147.072	3.82	5.15	Real Estate	76
LHT	BEI	LHTH.SI	34.609	33.297	16.08	4.62	Applied Resources	80
Lian Beng	L03	LIBG.SI	278.124	514.49	10.07	1.9	Industrial & Commercial Services	65
Libra	5TR	LIGL.SI	7.683	37.191			Industrial & Commercial Services	70
LifeBrandz	1D3	LIFE.SI	8.241	0.034			Cyclical Consumer Services	55
Lion Asiapac	BAZ	LIAS.SI	36.497	19.326	38.96		Mineral Resources	56
Lippo Malls Tr	D5IU	LMRT.SI	437.38	149.482		5.26	Real Estate	90.5
Livingstone	PRH	LIVI.SI	48.024				Healthcare Services	
Lonza	O6Z	LONN.S	56506.891	3976	110.22	0.4	Pharmaceuticals & Medical Research	
Lorenzo Intl	5IE	LRZI.SI	6.691				Retailers	50
Low Keng Huat	F1E	LKH.SI	343.549	139.432	15.69	5.38	Industrial & Commercial Services	65
Lum Chang	L19	LUCS.SI	165.563	325.621	54.5	4.07	Industrial & Commercial Services	65
Luminor	5UA	LUMI.SI	18.526	7.452		23.44	Real Estate	69
Lung Kee Bermuda	L09	0255.HK	2255.088	2298.344	10.16	9.24	Industrial Goods	
Luxking	BKK	LUKG.SI	3.162	107.268	1.14		Chemicals	59
LY Corp	1H8	LYCO.SI	68.48	73.695	359.38	0.93	Cyclical Consumer Products	74
Magnus Energy	41S	MAGN.SI	12.816	9.826			Energy - Fossil Fuels	58
Man Oriental USD	M04	MOIL.SI	2893.385	190			Cyclical Consumer Services	
Manhattan Res	L02	MANH.SI	188.15	7.975			Utilities	51
ManulifeReit USD	BTOU	MANU.SI	1136.05	186.481		7.45	Real Estate	93.8
Mapletree Com Tr	N2IU	MACT.SI	7207.151	504.048	21.43	3.78	Real Estate	67.7
Mapletree Ind Tr	ME8U	MAPI.SI	7287.575	528.366	35.53	4.23	Real Estate	81.2
Mapletree Log Tr	M44U	MAPL.SI	8636.177	625.715	17.83	4.01	Real Estate	85.2
Mapletree NAC Tr	RW0U	MAPE.SI	3488.855	391.415		6.18	Real Estate	90.2
MarcoPolo Marine	5LY	MAPM.SI	95.224	30.849			Transportation	42
Maruwa Yen1k	M12	5344.T	159227.641	46626.297	16.98	0.54	Technology Equipment	
Mary Chia	5OX	MARY.SI	9.376				Personal & Household Products & Services	65
Matex Intl	M15	MATE.SI	10.286	21.839			Chemicals	75
Maxi-Cash Fin	5UF	MAXI.SI	182.204	271.653	6.69	20.45	Banking & Investment Services	71
MDR Limited	Y3D	MDRT.SI	70.752	202.446		3.97	Retailers	
Medi Lifestyle	5TN	MEDL.SI	13.332	0.224			Healthcare Services	79
Medinex	OTX	MEDN.SI	28.866	10.786	8.26	6.36	Industrial & Commercial Services	84
Medtecs Intl	546	MTCS.SI	200.535	435.497	1.33	18.45	Healthcare Services	55
MegaChem	5DS	MEGA.SI	55.986	119.131	9.03	4.29	Chemicals	83
MeGroup	SJY	MEGR.SI	18.526	67.827	101.8	2.48	Automobiles & Auto Parts	68
Memiontec	SYM	MEMI.SI	171.8	47.057	96.3	0.24	Utilities	
Memories	1H4	MEMO.SI	14.563	2.881			Cyclical Consumer Services	
Mencast	5NF	MCHL.SI	19.273	44.954			Energy - Fossil Fuels	61
Mercurius	5RF	MERC.SI	94.168	0			Real Estate	51
Mermaid Maritime	DU4	MMPC.SI	135.68	119.374			Energy - Fossil Fuels	83
Metal Component	5DX	META.SI	26.696	38.683	122		Mineral Resources	56
Metech Intl	V3M	METE.SI	35.877	15.757			Industrial & Commercial Services	39
Metro	M01	MTHL.SI	627.82	97.323	17.01	2.65	Retailers	75
Mewah Intl	MV4	MEWI.SI	600.267	5497.846	5.35	2.17	Food & Beverages	78
MFG Integration	M11	MITD.SI	15.159	11.343		298.41	Technology Equipment	74
Micro-Mechanics	5DD	MMEC.SI	451.854	73.729	25.02	3.69	Technology Equipment	110
Midas	5EN	MIDA.SI	363.1				Mineral Resources	9
MindChamps	CNE	MIND.SI	54.36	61.347	20.34		Personal & Household Products & Services	74
Miyoshi	M03	MIYO.SI	17.673	43.8			Technology Equipment	90
MM2 Asia	1B0	MM2A.SI	137.211	75.23			Cyclical Consumer Services	79
MoneyMax Fin	5WJ	MFSL.SI	86.239	220.401	3.74	4.84	Retailers	65
Moya Asia	5WE	MOYA.SI	281.64	249.66	7.25		Industrial & Commercial Services	78
MS Hldgs	40U	MSHO.SI	9.947	9.806	3.08	16.67	Industrial & Commercial Services	62
MSC	NPW	MSCB.KL	1176	1066.423	21.33	0.36	Mineral Resources	
MSM Intl	5QR	MSML.SI	5.48	19.562			Industrial Goods	57
MTQ	M05	MTLS.SI	55.119	49.052		3.92	Energy - Fossil Fuels	72
Multi-Chem	AWZ	MCHE.SI	163.072	552.204	7.41	4.14	Technology Equipment	73
Mun Siong Engg	MF6	MSEL.SI	31.403	55.396	150	0.74	Industrial & Commercial Services	76
Murata Yen1k	PJX	6981.T	5797135	1742952	19.98	1.34	Industrial Goods	
MYP	F86	MYPL.SI	135.36	18.779			Real Estate	67
Nam Cheong	N4E	NMCG.SI	31.416	105.835			Industrial Goods	66
Nam Lee Metal	G0I	NLPM.SI	92.623	155.027	6.48	2.63	Cyclical Consumer Products	45
Nanofilm	MZH	NANO.SI	2514.449				Chemicals	
Natural Cool	5IF	NCHL.SI	13.775	144.534	10.93	2.73	Industrial & Commercial Services	81
NauticAWT	42D	NAUT.SI	9.53	-3.747			Cyclical Consumer Services	54
NeraTel	N01	NERA.SI	53.923	107.99		3.36	Technology Equipment	88
Net Pacific Fin	5QY	NPFH.SI	18.923	0.58			Banking & Investment Services	55
NetLink NBN Tr	CJLU	NETL.SI	3974.91	368.466	41.92	4.98	Telecommunications Services	98.9
New Silkroutes	BMT	NEWS.SI	16.105	56.677			Healthcare Services	52
New Toyo	N08	NTYO.SI	87.446	230.044	11.19	7.54	Applied Resources	79
New Wave	5FX	NEWW.SI	13.82	16.502			Mineral Resources	61
NGSC	B07	NGSC.SI	6.526	0			Telecommunications Services	40
Nico Steel	5GF	NICO.SI	4.962	25.651	5.3		Mineral Resources	63
Nippecraft	N32	NIPP.SI	17.57	184.019			Applied Resources	70
No Signboard	1G6	NOSI.SI	27.009	8.784			Cyclical Consumer Services	58
Noble	CGP	NOBG.SI	101.845	6669.672			Industrial & Commercial Services	8
Noel Gifts Intl	543	NOEL.SI	27.156	18.884	18.47	1.13	Retailers	55
Nomura Yen1k	N33	8604.T	1799801	1508358	31.81	6.29	Banking & Investment Services	
Nordic	MR7	NRGL.SI	144	96.951	12.27	3.17	Industrial & Commercial Services	78
NSL	N02	NATS.SI	302.582	253.42		6.17	Mineral Resources	48
Ntegrator Intl	5HC	NTOR.SI	10.028	21.907			Software & IT Services	58
NutryFarm	AZT	NUTR.SI	41.914	101.226			Food & Beverages	50
OCBC Bank	O39	OCBC.SI	53545.09	7625	11.08	3.45	Banking & Investment Services	114
Ocean Sky Intl	1B6	OCEA.SI	15.502	28.873			Industrial & Commercial Services	66
Oceanus	579	OCGL.SI	996.174	136.545	87.25		Food & Beverages	52
OEL	584	OELH.SI	11.206	0.562			Academic & Educational Services	63
OIO	KUX	OIOH.SI	93.748	2.431			Financial Technology (Fintech) & Infrastructure	
OKH Global	S3N	OKHG.SI	23.702	16.132	6.52		Industrial & Commercial Services	62
OKP	5CF	OKPH.SI	61.069	82.504	22.86	3.54	Industrial & Commercial Services	75
Olam Intl	O32	OLAM.SI	6379.051	41573.031	17.93	4.63	Food & Beverages	95
Old Chang Kee	5ML	OCKL.SI	86.176	75.319	9.86	2.11	Cyclical Consumer Services	74
Olive Tree	1H2	OLIV.SI	7.849	5.448			Real Estate	61
OneApex	5SY	ONEA.SI	8.45	1.154			Real Estate	57
Ossia Intl	O08	OSSA.SI	30.568	25.307	6.42	8.26	Retailers	35
OTS Holdings	OTS	OTSH.SI	64.2	38.506	21.49	2.33	Food & Beverages	
OUE	LJ3	OVES.SI	1303.695	371.082		1.46	Real Estate	64
OUE Com Reit	TS0U	OUEC.SI	2474.37	283.544		5.14	Real Estate	92.9
OUE Lippo HC	5WA	OUEL.SI	155.51	19.756	9.51		Healthcare Services	79
Ouhua Energy	AJ2	OUEH.SI	21.464	616.236	1.8		Energy - Fossil Fuels	44
Overseas Edu	RQ1	OVER.SI	99.687	76.103	10.99	9.58	Academic & Educational Services	64
Oxley	5UX	OXHL.SI	852.802	1364.171	15.96	2.5	Real Estate	65
OxPay Financial	TVV	OXPA.SI	85.866				Industrial & Commercial Services	
P5 Capital	5AI	P5CA.SI	21.375	4.748			Cyclical Consumer Products	48
Pacific Andes	P11	PACF.SI	182.144	1117.868			Food & Beverages	50
Pacific Century	P15	PCEN.SI	1006.297	25.035		9.34	Holding Companies	69
Pacific Radiance	T8V	PACI.SI	74.857	84.342			Energy - Fossil Fuels	71
Pacific Star Dev	1C5	PACS.SI	21.51	1.711			Real Estate	63
Pan Asian	5EW	PANA.SI	28.917	21.587		1.33	Utilities	47
Pan Hong	P36	PANH.SI	100.658	282.837	1.7	7.73	Real Estate	60
Pan Ocean	AZY	PANOx.SI	3732.511	3525.436	21.04	16.06	Transportation	27
PanUnited	P52	PANU.SI	214.109	491.234	27.8	4.26	Mineral Resources	61
Parkson Retail	O9E	PRAL.SI	8.805	178.39			Retailers	79
ParkwayLife Reit	C2PU	PWLR.SI	2776.961	120.311	28.21	2.71	Real Estate	80.3
Pavillon	596	PAVI.SI	16.673	9.795			Cyclical Consumer Services	42
PEC	IX2	PECL.SI	148.936	379.384	6.57	4.31	Energy - Fossil Fuels	58
Penguin Intl	BTM	PGUN.SI	140.909	111.387	14.67		Transportation	84
Pharmesis Intl	BFK	PHAR.SI	3.105	11.095			Pharmaceuticals & Medical Research	45
Pine Cap	ADJ	PINC.SI	6.529	0.63			Banking & Investment Services	11
Plastoform	AYD	PFML.SI	0.513	0.782			Technology Equipment	41
PlatoCapital	YYN	PLAT.SI	17.049	1.101			Software & IT Services	
PNE Industries	BDA	PNEI.SI	71.329	82.027	17.19	5.88	Industrial Goods	36
Polaris	5BI	POLA.SI	51.16	39.853			Retailers	58
Pollux Prop	5AE	PLPS.SI	85.544				Real Estate	55
Powermatic Data	BCY	PMDS.SI	102.396	26.251	13.47	1.75	Technology Equipment	52
Prime US ReitUSD	OXMU	PRIE.SI	1003.007	144.429	18.21	8.06	Real Estate	83.4
Procurri	BVQ	PROC.SI	86.8	248.869	38.11		Software & IT Services	59
Progen	583	POGN.SI	20.307	3.57			Industrial & Commercial Services	60
PropNex	OYY	PROP.SI	710.4	755.143	15.59	4.95	Real Estate	72
Prudential USD	K6S	PRU.L	40797.691	53636.371	16.07	0.78	Insurance	
PSL	BLL	PSLL.SI	8.242	9.078			Industrial & Commercial Services	61
Q&M Dental	QC7	QMDT.SI	545.714	179.211	18.19	3.69	Healthcare Services	73
QAF	Q01	QAFS.SI	500.484	546.134	17.68	5.75	Food & Beverages	75
Qian Hu	BCV	QIAN.SI	24.408	81.726		0.93	Food & Beverages	103
QT Vascular	5I0	QTVA.SI	15.676	0.422			Healthcare Services	59
Raffles Edu	NR7	RLSE.SI	116.676	97.729	6.73		Academic & Educational Services	38
Raffles Infrastructure	LUY	RAFL.SI	12.629	5.544	17.22		Industrial & Commercial Services	56
Raffles Medical	BSL	RAFG.SI	2580.578	670.598	29.13	1.45	Healthcare Services	66
RE&S Hldg	1G1	RESH.SI	77.88	123.948	8.22	6.14	Cyclical Consumer Services	73
Reclaims Global	NEX	RECL.SI	26.855	35.242	4.86	4.88	Industrial & Commercial Services	75
Reenova Investment	5EC	REEN.SI	20.394	0			Banking & Investment Services	66
Regal Intl	UV1	REGI.SI	25.865	18.672			Real Estate	49
Renaissance United	I11	RENA.SI	12.362	73.26			Utilities	64
Resources Gbl	QSD	RESU.SI	36.9	96.493	4.46		Energy - Fossil Fuels	
Resources Prima	5MM	RESO.SI	46.739	0			Energy - Fossil Fuels	61
Revez	RCU	REVE.SI	36.012	8.541			Software & IT Services	
Rex Intl	5WH	REXI.SI	453.85	145.406	10.86		Energy - Fossil Fuels	88
RH PetroGas	T13	RHPG.SI	144.082	89.608	17		Energy - Fossil Fuels	71
RHT HealthTrust	RF1U	RHTH.SI	15.494	0			Real Estate	46.2
Rich Capital	5G4	RICH.SI	21.765				Industrial & Commercial Services	56
Riverstone	AP4	RVHL.SI	1277.018	1046.185	2.53	9.76	Healthcare Services	73
Roxy-Pacific	E8Z	RXYP.SI	617.065	221.559			Real Estate	88
Ryobi Kiso	BDN	RKHL.SI	38.925	146.908			Industrial & Commercial Services	66
Sabana Reit	M1GU	SABA.SI	465.428	76.53	11.43	7.19	Real Estate	71.5
Sakae	5DO	SAKA.SI	16.898	21.149	7.19	10.08	Cyclical Consumer Services	46
Samko Timber	E6R	SAMT.SI	64.684	326.968			Applied Resources	67
SamuderaShipping	S56	SAMU.SI	293.827	515.178	5.91	2.29	Transportation	76
Samurai 2K	Y8E	SAMR.SI	117.117	35.914	20.31	2.86	Chemicals	
Sanli Env	1.00E+03	SANL.SI	30.09	60.481	91.06	0.63	Industrial & Commercial Services	79
Santak	580	SATK.SI	9.682	11.825			Industrial Goods	49
Sapphire	BRD	SAPP.SI	33.83	232.661	4.15		Industrial & Commercial Services	64
Sarine Tech	U77	SARI.SI	250.603	73.515	13.28	3.06	Industrial Goods	53
Sasseur Reit	CRPU	SASS.SI	1032.27	133.419	17.48	7.6	Real Estate	83.7
SATS	S58	SATS.SI	4709.796	969.997		1.43	Transportation	131
SBI Offshore	5PL	SBIO.SI	9.488	0			Energy - Fossil Fuels	68
SBS Transit	S61	SBVV.SI	935.595	1268.54	11.29	4.02	Transportation	106
Second Chance	528	SECD.SI	263.167	26.851	44.64	1.29	Real Estate	66
Secura	43B	SECU.SI	30.8	35.216	18.12	5.19	Industrial & Commercial Services	59
Sembcorp Ind	U96	SCIL.SI	3646.597	5214	11.5	2.94	Utilities	118
Sembcorp Marine	S51	SCMN.SI	3013.354	1448.267			Industrial Goods	94
Sen Yue	5BS	SENY.SI	21.738	175.106			Mineral Resources	58
Serial System	S69	SERL.SI	108.695	1153.252	7.53	2.75	Industrial Goods	84
Seroja Inv	IW5	SERO.SI	30.841	0			Transportation	56
SGX	S68	SGXL.SI	10352.062	1055.953	23.49	3.31	Banking & Investment Services	121
Shanaya	SES	SHAA.SI	19.968	0			Industrial & Commercial Services	
Shanghai Turbo	AWM	SHTU.SI	13.734	10.695			Industrial Goods	49
Shangri-La HKD	S07	0069.HK	22552.953	8755.478			Cyclical Consumer Services	
Shen Yao	A78	SHEY.SI	101.119	91.04			Mineral Resources	45
Sheng Siong	OV8	SHEN.SI	2135.022	1328.273	16.46	4.3	Food & Drug Retailing	67
Shenshan	BKV	CHIS.SI	20.756	22.631			Food & Beverages	54
Shinvest	BJW	SHIN.SI	101.08	11.84		1.04	Industrial Goods	42
Shopper360	1F0	SHOP.SI	14.3	49.712	7.28	7.2	Cyclical Consumer Services	72
SHS	566	SEEH.SI	110.149	43.836			Industrial & Commercial Services	61
SIA	C6L	SIAL.SI	15483.227	3815.9		1.08	Transportation	94
SIA Engineering	S59	SIAE.SI	2439.333	442.994		2.3	Transportation	97
SIIC Environment	BHK	SIIC.SI	579.525	1458.058	4.03	4.44	Utilities	66
Silkroad Nickel	STP	SILK.SI	101.873	10.467			Mineral Resources	74
Silverlake Axis	5CP	SLVX.SI	862.871	203.26	17.95	1.63	Software & IT Services	79
Sim Leisure	URR	SIMI.SI	33.073	3.109	10.96		Cyclical Consumer Services	71
Sin Heng Mach	BKA	SIHM.SI	47.104	47.622	18.11	1.22	Industrial Goods	64
Sinarmas Land	A26	SINA.SI	1205.57	982.196	5.93	0.34	Real Estate	84
Sincap	5UN	SINC.SI	17.195	5.179			Energy - Fossil Fuels	39
Sing Inv & Fin	S35	SINV.SI	231.71	77.369	7.75	2.45	Banking & Investment Services	97
Sing Paincare	FRQ	SINR.SI	34.488	10.956	14.39	3.91	Healthcare Services	
Singapore O&G	1D8	SINP.SI	126.706	43.081	12.37	6.98	Healthcare Services	94
SingaporeKitchen	5WG	SING.SI	9.145	26.353	3.6		Cyclical Consumer Products	75
SingaporeLandGrp	U06	SIND.SI	3853.875	628.025	17.79	1.3	Real Estate	54
SingHaiyi	5H0	SIHL.SI	464.367	152.849			Real Estate	73
SingHoldings	5IC	SHDS.SI	154.383	118.351	12.84	2.6	Real Estate	73
SingMedical	5OT	SMGL.SI	153.284	98.077	12.2	1.27	Healthcare Services	65
SingPost	S08	SPOS.SI	1506.894	1404.681	44.99	1.68	Transportation	111
SingShipping	S19	SSHP.SI	111.997	56.852	8.07	1.79	Industrial Goods	73
Singtel	Z74	STEL.SI	41782.027	15644	74.76	2.96	Telecommunications Services	128
Singtel 10	Z77							
Sinjia Land	5HH	SINJ.SI	24.198	0.336			Cyclical Consumer Services	73
Sino Grandness	T4B	SOGF.SI	22.988	618.988	0.45		Food & Beverages	42
SinoCloud	5EK	SINL.SI	15.878	1.678			Software & IT Services	49
Sinostar Pec	C9Q	SNSR.SI	214.4	793.942	3.61	1.49	Energy - Fossil Fuels	68
Sitra	5LE	SITR.SI	22.25	17.268			Applied Resources	59
SLB Dev	1J0	SLBD.SI	100.43	42.387	7.52	0.91	Real Estate	61
SMI Vantage	Y45	SMIV.SI	60.597	0.452			Banking & Investment Services	62
Soilbuild Const	S7P	SOIL.SI	47.95	209.155		8.77	Industrial & Commercial Services	72
Soon Lian	5MD	SNLN.SI	6.48	40.37	1.81		Mineral Resources	66
Soup Restaurant	5KI	SRGL.SI	24.775	29.971	25.7	2.41	Cyclical Consumer Services	66
Southern Pkg	BQP	SOUT.SI	33.05	139.431	14.53	0.53	Applied Resources	71
SouthernAlliance	QNS	SOUH.SI	393.645	86.119	15.42	0.75	Mineral Resources	
SP Corp	AWE	SPPS.SI	23.867	49.48	38.42		Retailers	80
Spackman	40E	SPAC.SI	9.746	18.246			Cyclical Consumer Services	78
SPH	T39	SPRM.SI	3185.292	449.926	20.9	3.02	Cyclical Consumer Services	112
SPHREIT	SK6U	SPHR.SI	2715.535	277.179	19.78		Real Estate	78.6
Spindex Ind	564	SNEX.SI	154.589	204.935	7.27	3.36	Industrial Goods	53
Spura Finance	S23	SBDS.SI	131.709	29.558	17.04	1.81	Banking & Investment Services	88
Sri Trang Agro	NC2	STA.BK	49536	104124.75	2.67	12.92	Automobiles & Auto Parts	61
Sri Trang Gloves	STG	STGT.BK	86613.656	50189.141	2.5	16.39	Healthcare Services	
ST Engineering	S63	STEG.SI	12021.606	7237.265	21.54	3.9	Industrial Goods	97
ST Group Food	DRX	STGR.SI	30.504	45.924	23.68	1.25	Cyclical Consumer Services	53
Stamford Land	H07	SFLD.SI	391.481	113.807	47.39	1	Cyclical Consumer Services	78
Stamford Tyres	S29	STAS.SI	48.603	194.203	19.58	6.1	Automobiles & Auto Parts	76
Starburst	40D	STAB.SI	57.088	32.548	3.88	5	Industrial & Commercial Services	55
StarhillGbl Reit	P40U	STHL.SI	1435.96	181.287	26.09	5.17	Real Estate	78
StarHub	CC3	STAR.SI	2164.564	2042.9	15.49	4	Telecommunications Services	93
Straco	S85	STRA.SI	434.465	45.196	27.92	2	Cyclical Consumer Services	54
Straits Trading	S20	STCM.SI	1448.74	539.723	8.57	1.69	Mineral Resources	65
SunMoonFood	AAJ	SMFC.SI	24.324	32.025	33.33		Food & Beverages	55
Sunpower	5GD	SUNP.SI	389.886	774.926	8.56	0.61	Industrial Goods	47
Sunright	S71	SNRT.SI	52.807	111.396	40.19	0.7	Technology Equipment	51
Sunrise Shares	581	SUNR.SI	21.98	1.402	51.22		Real Estate	74
Suntar Eco-City	BKZ	SECL.SI	17.259	3.865			Pharmaceuticals & Medical Research	35
Suntec Reit	T82U	SUNT.SI	4287.145	332.706	86.36	5.07	Real Estate	85.3
SUTL Enterprise	BHU	SUTL.SI	44.369	18.984	10.05	3.92	Cyclical Consumer Services	68
Swiber	BGK	SWBR.SI	50.04	1158.689			Energy - Fossil Fuels	35
Swing Media Tech	BEV	SWMT.SI	25.539	197.16			Technology Equipment	50
Swissco Hldg	ADP	SWCO.SI	35.88	47.687			Energy - Fossil Fuels	22
Sysma	5UO	SYSM.SI	36.54	55.855	13.32		Industrial & Commercial Services	54
TA	PA3	TACO.SI	33.156	191.013			Real Estate	64
Tai Sin Electric	500	TAIS.SI	182.881	298.442	10.52	5.7	Industrial Goods	60
TalkMed	5G3	TALK.SI	541.245	60.315	23.77	5	Healthcare Services	69
Tat Seng Pkg	T12	TASE.SI	119.472	350.013	4.63	3.29	Applied Resources	45
TCIL HK$	T15	0693.HK	4046.751	12690.97	36.16	2.24	Retailers	
TEE Intl	M1Z	TEEI.SI	20.741	116.418			Industrial & Commercial Services	69
Teho Intl	5OQ	TEHO.SI	9.417	61.815	2.92		Industrial Goods	64
TeleChoice Intl	T41	TCIN.SI	75.889	206.417		2.99	Technology Equipment	66
ThaiBev	Y92	TBEV.SI	17959.91	10029.149	18.8	2.8	Food & Beverages	64
Thakral	AWI	THAK.SI	68.048	108.885	4.42	5.77	Real Estate	84
The Place Hldg	E27	THEP.SI	664.514	1.153	565		Cyclical Consumer Services	75
TheHourGlass	AGS	HRGS.SI	1311.322	742.931	15.88	3.23	Retailers	71
Thomson Medical	A50	THOS.SI	2300.368	240.398	161.11	0.17	Healthcare Services	63
Tianjin ZX USD	T14	TIAN.SI	2600.682	1087.951	6.67		Pharmaceuticals & Medical Research	65
TIH	T55	TIHL.SI	65.255	15.426	6.37	3.7	Collective Investments	55
Tiong Seng	BFI	TISE.SI	69.403	312.378		1.66	Industrial & Commercial Services	63
Tiong Woon	BQM	TION.SI	111.473	112.949	11.29	0.63	Industrial Goods	47
TLV	42L	TLVH.SI	36.192	96.833	14.78		Retailers	76
Top Glove	BVA	TPGC.KL	21256.164	16361.443	2.7	22.47	Healthcare Services	
Tosei	S2D	8923.T	54623.223	59941.953	6.44	1.69	Real Estate	
Totm Tech	42F	TOTM.SI	169.861	6.072			Telecommunications Services	68
Transit Concrete	570	TMCL.SI	14.705	7.247			Mineral Resources	56
Travelite	BCZ	TRHL.SI	5.869	18.04			Retailers	56
Trek 2000 Intl	5AB	TRKL.SI	33.708	48.295	72.09		Technology Equipment	42
Trendlines	42T	THET.SI	81.493	3.823	12.78		Banking & Investment Services	74
TrickleStar	CYW	TRIC.SI	14.881	16.192	22.86	1.11	Industrial Goods	57
Tritech	5G9	TTGL.SI	27.401	22.872			Industrial & Commercial Services	78
Triyards	RC5	TRIY.SI	27.168	156.672			Energy - Fossil Fuels	46
TSH	KUH	TSHC.SI	6.032	4.971			Cyclical Consumer Services	
TT Intl	T09	TINL.SI	14.448	44.184			Retailers	37
TTJ	K1Q	TTJH.SI	64.4	75.394	19.11	4.35	Industrial & Commercial Services	60
Tuan Sing	T24	TSHS.SI	594.826	248.898	3.8	1.22	Real Estate	106
Tung Lok Rest	540	TGLK.SI	38.965	59.731	38.8		Cyclical Consumer Services	63
Tye Soon	BFU	TYES.SI	33.597	221.419	10.43		Automobiles & Auto Parts	66
UGHealthcare	8K7	UGHE.SI	197.203	338.401	1.65	1.27	Healthcare Services	
UMS	558	UMSH.SI	889.548	205.638	18.94	2.12	Technology Equipment	66
Uni-Asia Grp	CHJ	UAFC.SI	114.756	75.56	25.99	1.71	Real Estate	71
Union Gas	1F2	UNIO.SI	193.478	88.062	15.96	4.18	Utilities	72
Union Steel	BLA	UNIS.SI	25.99	77.325	3.41		Mineral Resources	73
United Food	AZR	UTDF.SI	8.08	2.127			Food & Beverages	34
United Global	43P	UNIT.SI	126.485	3.788	19.61	2.5	Energy - Fossil Fuels	88
Universal Res	BGO	UNIV.SI	4.053	0.01			Energy - Fossil Fuels	41
UnUsUaL	1D1	UNUS.SI	134.822	1.346			Cyclical Consumer Services	57
UOA	EH5	UOS.AX	363.932	319.982	12.17	2.72	Real Estate	
UOB	U11	UOBH.SI	45182.746			3.69	Banking & Investment Services	113
UOB Kay Hian	U10	UOKH.SI	1355.548	657.813	7.45	6.05	Banking & Investment Services	52
UOI	U13	UOIS.SI	424.416	62.074	15.64	2.45	Insurance	90
UOL	U14	UTOS.SI	6129.583	2262.44	32.83	2.07	Real Estate	86
USP Group	BRS	USPG.SI	4.182	32.496	3.67		Energy - Fossil Fuels	27
UtdHampshReitUSD	ODBU	UNIE.SI	374.686	56.02	18.04	9.55	Real Estate	
V2Y Corp	V2Y	V2YC.SI	16.212	1.627			Insurance	70
Vallianz	WPC	VHLD.SI	82.39	119.449			Transportation	68
ValueMax	T6I	VAMG.SI	244.477	312.717	5.22	5.14	Banking & Investment Services	56
Valuetronics	BN2	VLUE.SI	257.022	395.478	7.92	6.11	Technology Equipment	70
VCPlus	43E	VCPL.SI	108.935	0.028			Mineral Resources	76
Venture	V03	VENM.SI	5515.626	3079.391	17.95	3.96	Technology Equipment	94
Versalink	40N	VERS.SI	10.395	11.34			Industrial & Commercial Services	65
Vibrant Group	BIP	VIBR.SI	66.305	162.853	20.88	1.05	Transportation	46
VibroPower	BJD	VIBO.SI	4.486	16.053	1.99		Utilities	69
VICOM Ltd	WJP	VCOM.SI	733.956	95.772	27.43	4.47	Industrial & Commercial Services	
Vicplas Intl	569	VICP.SI	117.654	113.945	11.53	1.96	Healthcare Services	52
VikingOffshore	1Y1	VIKO.SI	39.016	13.901			Energy - Fossil Fuels	
Vividthree	OMK	VIVI.SI	21.043	2.027			Cyclical Consumer Services	46
Wee Hur	E3B	WHHL.SI	184.375	174.696		2.54	Industrial & Commercial Services	63
Willas-Array	BDR	0854.HK	345.089	3557.935	3.73	8.15	Technology Equipment	72
Wilmar Intl	F34	WLIL.SI	27918.828	77391.391	12.24	3.21	Food & Beverages	78
Wilton Resources	5F7	WILT.SI	61.795	0.493			Mineral Resources	61
Wing Tai	W05	WTHS.SI	1556.097	461.396	73.96	1.53	Real Estate	91
Wong Fong Ind	1A1	WONG.SI	36.425	58.201	12.83	2.77	Industrial Goods	67
World Precision	B49	WPML.SI	140	266.403	5.7	4.44	Industrial Goods	56
XMH	BQF	XMHL.SI	12.596	64.197	12.73		Industrial Goods	64
Y Ventures	1F1	YVEN.SI	13.824	45.301			Software & IT Services	67
Yamada Green Res	BJV	YAMR.SI	58.149	12.903			Food & Beverages	33
Yanlord Land	Z25	YNLG.SI	2202.072	5904.11	3.54	6.02	Real Estate	58
Yeo Hiap Seng	Y03	YHSS.SI	513.877	328.727		2.3	Food & Beverages	73
YHI Intl	BPF	YHII.SI	149.071	464.61	6	6.47	Automobiles & Auto Parts	61
